transaction_id,customer_id,order_id,payment_method,amount_paid
105,479,647,jcb,$18.20
106,897,483,jcb,$19.70
107,849,530,jcb,$22.32
108,193,66,bankcard,$36.93
109,513,93,switch,$9.87
110,53,621,visa,$34.65
111,984,681,switch,$42.59
112,869,625,jcb,$41.17
113,681,882,mastercard,$15.30
114,779,927,mastercard,$39.45
115,272,730,mastercard,$16.09
116,32,445,china-unionpay,$7.85
117,512,39,switch,$21.86
118,40,820,mastercard,$16.85
119,12,748,china-unionpay,$47.51
120,401,517,visa-electron,$26.65
121,982,587,jcb,$15.57
122,537,498,bankcard,$21.98
123,790,834,mastercard,$6.47
124,498,64,switch,$36.54
125,375,443,jcb,$15.70
126,554,333,mastercard,$42.73
127,22,608,jcb,$22.71
128,752,852,diners-club-enroute,$8.56
129,553,418,switch,$4.93
130,397,614,jcb,$45.70
131,603,315,jcb,$6.87
132,45,623,jcb,$11.83
133,442,729,diners-club-us-ca,$38.63
134,536,885,diners-club-carte-blanche,$4.95
135,683,32,jcb,$32.30
136,991,402,visa,$5.53
137,168,660,mastercard,$45.03
138,97,317,visa,$19.35
139,540,94,jcb,$44.93
140,42,278,jcb,$42.78
141,527,560,diners-club-carte-blanche,$8.73
142,414,176,jcb,$43.60
143,837,374,mastercard,$11.69
144,519,223,jcb,$30.28
145,498,590,jcb,$45.62
146,438,769,maestro,$48.18
147,511,508,instapayment,$35.36
148,116,912,jcb,$45.05
149,446,490,mastercard,$11.06
150,852,104,switch,$28.96
151,412,321,jcb,$41.29
152,288,356,china-unionpay,$46.51
153,981,408,jcb,$11.44
154,460,627,mastercard,$42.44
155,454,814,jcb,$43.71
156,654,234,jcb,$25.34
157,804,737,instapayment,$37.32
158,731,618,laser,$10.67
159,688,88,jcb,$41.26
160,563,214,diners-club-carte-blanche,$40.73
161,743,762,jcb,$36.60
162,62,482,visa-electron,$34.01
163,376,286,jcb,$46.74
164,493,648,switch,$12.04
165,752,550,visa-electron,$36.13
166,300,77,maestro,$48.14
167,883,849,jcb,$31.61
168,177,913,diners-club-international,$13.67
169,525,851,maestro,$46.95
170,703,759,instapayment,$30.29
171,107,403,americanexpress,$41.97
172,61,424,solo,$13.55
173,329,205,mastercard,$23.82
174,243,997,china-unionpay,$23.16
175,842,736,americanexpress,$16.37
176,47,618,jcb,$7.18
177,815,830,laser,$49.40
178,44,325,visa-electron,$17.10
179,193,537,diners-club-carte-blanche,$44.15
180,754,635,diners-club-us-ca,$10.38
181,564,739,laser,$6.17
182,757,446,jcb,$25.94
183,52,727,mastercard,$21.20
184,285,916,bankcard,$42.12
185,375,524,jcb,$20.46
186,373,767,diners-club-enroute,$23.01
187,240,863,mastercard,$4.40
188,398,879,maestro,$47.30
189,787,710,jcb,$44.52
190,488,420,jcb,$48.65
191,440,460,jcb,$13.70
192,629,58,bankcard,$27.96
193,151,293,jcb,$21.92
194,830,534,mastercard,$8.73
195,932,698,laser,$13.66
196,259,390,visa,$5.95
197,257,728,mastercard,$23.95
198,257,617,bankcard,$8.08
199,880,68,jcb,$39.41
200,104,77,visa,$10.86
201,65,780,jcb,$39.68
202,954,47,maestro,$39.57
203,668,70,jcb,$46.98
204,36,331,switch,$16.37
205,160,686,switch,$22.04
206,271,285,switch,$31.11
207,186,833,diners-club-carte-blanche,$41.51
208,897,778,mastercard,$5.38
209,820,262,americanexpress,$31.63
210,248,172,switch,$38.68
211,904,381,jcb,$37.61
212,138,764,diners-club-enroute,$39.58
213,429,458,jcb,$37.78
214,262,6,diners-club-enroute,$29.77
215,434,289,jcb,$28.51
216,181,175,bankcard,$45.88
217,313,374,jcb,$7.59
218,1,931,jcb,$37.21
219,502,799,visa,$6.76
220,980,402,americanexpress,$12.44
221,887,590,jcb,$26.73
222,944,514,china-unionpay,$22.76
223,324,222,jcb,$38.70
224,867,794,americanexpress,$45.86
225,119,640,jcb,$41.19
226,711,770,laser,$28.32
227,729,455,maestro,$40.24
228,145,492,jcb,$23.80
229,118,51,jcb,$28.05
230,324,668,diners-club-international,$36.08
231,649,533,diners-club-carte-blanche,$49.36
232,776,243,switch,$7.21
233,544,683,visa,$4.70
234,96,411,jcb,$28.04
235,819,939,jcb,$36.93
236,777,813,instapayment,$14.83
237,646,123,jcb,$22.35
238,846,992,maestro,$46.89
239,647,170,diners-club-enroute,$6.92
240,54,794,bankcard,$45.67
241,777,436,jcb,$14.33
242,952,135,jcb,$15.70
243,1,230,bankcard,$41.87
244,362,657,jcb,$45.38
245,808,328,mastercard,$20.51
246,888,531,laser,$24.30
247,795,929,jcb,$23.99
248,615,430,instapayment,$25.51
249,673,243,bankcard,$44.00
250,129,666,diners-club-us-ca,$18.23
251,998,889,jcb,$21.13
252,890,8,bankcard,$30.84
253,412,666,maestro,$25.61
254,727,427,visa-electron,$29.81
255,196,733,mastercard,$4.72
256,537,660,maestro,$5.35
257,618,597,jcb,$33.09
258,202,925,jcb,$18.66
259,702,452,jcb,$13.90
260,765,888,maestro,$18.34
261,546,850,jcb,$49.32
262,450,203,jcb,$9.29
263,295,866,diners-club-us-ca,$12.79
264,878,185,diners-club-international,$40.87
265,345,291,jcb,$34.14
266,311,149,mastercard,$28.07
267,697,656,diners-club-enroute,$37.97
268,102,76,maestro,$10.32
269,358,550,diners-club-enroute,$35.41
270,525,588,jcb,$24.22
271,194,31,jcb,$34.92
272,905,728,americanexpress,$4.61
273,690,617,jcb,$27.76
274,160,148,visa,$49.26
275,911,894,mastercard,$37.83
276,769,207,jcb,$42.84
277,166,236,solo,$12.59
278,949,722,china-unionpay,$13.48
279,962,149,bankcard,$35.01
280,993,197,diners-club-enroute,$10.11
281,565,234,mastercard,$42.20
282,918,525,maestro,$35.69
283,903,746,diners-club-us-ca,$48.01
284,359,436,solo,$44.08
285,188,296,jcb,$36.32
286,165,570,jcb,$11.70
287,668,193,visa-electron,$28.86
288,480,999,mastercard,$46.02
289,537,547,jcb,$37.09
290,369,182,maestro,$24.64
291,58,735,visa-electron,$42.63
292,950,550,bankcard,$3.91
293,457,437,jcb,$48.40
294,649,976,bankcard,$35.01
295,972,13,americanexpress,$37.63
296,521,20,jcb,$35.08
297,919,35,china-unionpay,$4.19
298,671,812,maestro,$43.64
299,256,297,jcb,$28.24
300,909,417,jcb,$48.29
301,237,466,bankcard,$11.44
302,307,124,diners-club-us-ca,$46.48
303,362,892,laser,$37.88
304,944,505,switch,$21.23
305,611,875,visa-electron,$28.29
306,176,650,bankcard,$38.77
307,376,362,maestro,$19.91
308,25,314,visa-electron,$30.61
309,558,305,diners-club-carte-blanche,$4.29
310,210,483,americanexpress,$48.76
311,707,998,jcb,$30.37
312,414,170,visa-electron,$41.03
313,230,50,visa-electron,$29.67
314,5,432,jcb,$20.99
315,313,847,visa-electron,$11.95
316,279,190,visa-electron,$18.79
317,663,887,visa-electron,$15.92
318,961,655,diners-club-us-ca,$46.49
319,197,804,diners-club-carte-blanche,$20.41
320,186,122,jcb,$47.45
321,4,786,china-unionpay,$20.97
322,561,80,bankcard,$24.58
323,928,45,jcb,$35.14
324,301,318,jcb,$33.91
325,301,511,jcb,$27.54
326,810,915,maestro,$25.31
327,436,140,jcb,$17.53
328,942,840,mastercard,$18.87
329,647,57,diners-club-carte-blanche,$28.33
330,1,446,jcb,$22.33
331,107,395,visa-electron,$38.58
332,932,158,jcb,$44.01
333,133,767,jcb,$23.42
334,677,922,jcb,$34.03
335,367,557,jcb,$33.98
336,556,749,jcb,$22.37
337,701,136,jcb,$17.85
338,234,984,jcb,$6.04
339,477,967,jcb,$30.45
340,974,331,jcb,$15.33
341,595,730,jcb,$39.17
342,949,543,jcb,$38.92
343,931,482,jcb,$36.49
344,289,890,jcb,$8.19
345,79,757,americanexpress,$9.83
346,940,377,visa,$21.98
347,442,190,maestro,$21.94
348,324,272,jcb,$5.56
349,664,149,china-unionpay,$21.38
350,757,577,diners-club-carte-blanche,$24.95
351,503,135,switch,$4.11
352,336,785,maestro,$43.49
353,144,313,china-unionpay,$41.22
354,96,531,visa-electron,$8.69
355,575,189,jcb,$46.04
356,850,892,mastercard,$37.21
357,815,193,china-unionpay,$37.59
358,213,276,visa,$13.05
359,492,242,bankcard,$24.43
360,119,324,mastercard,$8.84
361,575,801,jcb,$46.43
362,313,111,jcb,$49.84
363,744,480,jcb,$18.84
364,559,372,jcb,$20.15
365,56,196,visa-electron,$37.83
366,725,757,jcb,$48.97
367,768,774,jcb,$19.61
368,489,676,instapayment,$21.57
369,808,28,jcb,$36.26
370,313,870,jcb,$19.87
371,883,766,china-unionpay,$13.93
372,880,517,diners-club-carte-blanche,$37.69
373,436,627,switch,$24.35
374,859,655,china-unionpay,$7.60
375,69,124,diners-club-international,$4.77
376,146,637,jcb,$34.28
377,527,228,laser,$34.88
378,390,928,jcb,$32.55
379,467,257,switch,$17.80
380,39,51,jcb,$28.12
381,286,121,bankcard,$25.46
382,307,716,jcb,$12.20
383,884,992,jcb,$24.05
384,285,263,jcb,$5.38
385,88,249,china-unionpay,$29.57
386,932,858,jcb,$11.32
387,514,42,maestro,$7.52
388,479,945,visa,$25.38
389,467,917,americanexpress,$7.49
390,144,202,mastercard,$46.62
391,957,687,jcb,$21.15
392,293,395,diners-club-carte-blanche,$47.99
393,259,945,jcb,$30.68
394,430,56,jcb,$39.26
395,526,193,maestro,$41.36
396,732,149,jcb,$33.36
397,26,388,bankcard,$14.91
398,505,701,diners-club-enroute,$18.98
399,951,978,maestro,$8.05
400,19,330,bankcard,$38.43
401,886,736,mastercard,$32.96
402,462,976,jcb,$26.16
403,234,496,jcb,$42.81
404,339,486,jcb,$47.39
405,158,179,jcb,$4.34
406,586,728,diners-club-enroute,$19.99
407,739,634,bankcard,$34.11
408,117,906,china-unionpay,$3.27
409,442,558,jcb,$36.15
410,8,52,bankcard,$8.09
411,368,417,laser,$37.83
412,604,897,jcb,$11.94
413,733,18,jcb,$36.75
414,636,947,laser,$15.55
415,235,40,jcb,$9.80
416,49,965,jcb,$5.97
417,167,687,diners-club-enroute,$16.95
418,333,568,jcb,$22.97
419,168,468,jcb,$42.81
420,263,750,jcb,$4.66
421,414,757,diners-club-enroute,$15.41
422,580,421,jcb,$27.40
423,255,227,bankcard,$13.39
424,589,757,jcb,$43.46
425,556,892,jcb,$36.09
426,399,364,jcb,$39.73
427,887,62,jcb,$45.33
428,851,882,visa-electron,$16.21
429,840,969,mastercard,$20.26
430,527,168,jcb,$41.66
431,386,570,maestro,$26.02
432,464,575,jcb,$49.88
433,610,526,americanexpress,$13.58
434,505,131,jcb,$14.49
435,125,723,mastercard,$38.53
436,54,686,diners-club-enroute,$38.17
437,630,312,jcb,$24.61
438,483,278,jcb,$26.79
439,670,356,jcb,$49.62
440,193,749,jcb,$34.69
441,630,803,jcb,$13.77
442,427,139,jcb,$13.26
443,587,143,jcb,$41.68
444,109,22,jcb,$31.76
445,683,234,diners-club-us-ca,$7.63
446,497,105,jcb,$25.62
447,755,375,diners-club-us-ca,$30.13
448,954,266,jcb,$43.77
449,355,952,mastercard,$14.93
450,50,931,jcb,$13.96
451,42,510,switch,$8.57
452,790,373,laser,$12.72
453,147,908,visa-electron,$24.85
454,267,525,jcb,$42.34
455,450,573,mastercard,$42.32
456,64,575,diners-club-enroute,$20.28
457,525,173,bankcard,$7.41
458,950,418,jcb,$23.24
459,557,438,jcb,$27.32
460,909,475,jcb,$39.47
461,661,488,maestro,$25.18
462,186,371,diners-club-carte-blanche,$40.44
463,654,979,diners-club-enroute,$8.04
464,560,807,mastercard,$38.38
465,946,670,jcb,$22.74
466,341,931,bankcard,$12.94
467,844,504,visa,$30.87
468,727,267,jcb,$45.84
469,844,465,mastercard,$16.07
470,5,141,visa-electron,$4.34
471,190,430,jcb,$12.57
472,734,778,jcb,$25.34
473,397,76,diners-club-carte-blanche,$44.76
474,587,142,jcb,$31.25
475,253,858,visa-electron,$11.41
476,209,10,jcb,$19.71
477,558,334,jcb,$10.83
478,498,123,jcb,$26.25
479,530,322,mastercard,$47.52
480,584,195,instapayment,$6.25
481,911,161,jcb,$46.98
482,873,140,china-unionpay,$34.35
483,111,947,diners-club-carte-blanche,$49.42
484,565,516,jcb,$20.27
485,465,723,jcb,$34.48
486,409,577,jcb,$12.51
487,473,676,diners-club-carte-blanche,$15.66
488,470,426,jcb,$40.07
489,973,194,maestro,$18.13
490,40,433,diners-club-carte-blanche,$20.62
491,849,237,jcb,$12.22
492,695,538,jcb,$6.06
493,540,46,jcb,$40.42
494,100,834,jcb,$45.13
495,401,424,americanexpress,$40.19
496,275,345,solo,$40.00
497,898,111,jcb,$32.20
498,465,36,switch,$32.56
499,739,861,visa-electron,$5.41
500,810,141,maestro,$32.66
501,245,765,jcb,$8.89
502,413,271,diners-club-enroute,$43.73
503,44,670,visa-electron,$13.00
504,164,123,china-unionpay,$33.68
505,803,394,jcb,$3.53
506,60,204,diners-club-enroute,$40.93
507,260,389,diners-club-enroute,$45.09
508,11,820,solo,$26.55
509,784,547,visa-electron,$19.66
510,153,593,visa-electron,$17.89
511,652,203,china-unionpay,$42.18
512,50,233,mastercard,$33.89
513,870,577,jcb,$20.73
514,664,170,americanexpress,$30.22
515,835,903,jcb,$37.20
516,78,684,china-unionpay,$19.71
517,369,469,bankcard,$17.53
518,772,679,instapayment,$19.13
519,507,526,maestro,$3.82
520,984,123,jcb,$38.67
521,772,172,jcb,$8.78
522,859,316,mastercard,$29.36
523,110,386,jcb,$30.39
524,486,285,switch,$31.04
525,114,264,mastercard,$33.43
526,109,526,jcb,$26.22
527,314,690,jcb,$48.06
528,551,94,solo,$33.03
529,618,215,jcb,$18.81
530,379,422,laser,$45.23
531,638,512,jcb,$45.27
532,858,387,jcb,$34.60
533,26,666,diners-club-international,$5.04
534,112,306,maestro,$41.84
535,914,695,jcb,$22.95
536,276,426,switch,$15.15
537,370,248,switch,$40.99
538,790,654,jcb,$26.04
539,273,415,switch,$8.04
540,320,65,switch,$41.41
541,322,601,diners-club-enroute,$42.95
542,780,534,jcb,$29.23
543,814,181,jcb,$31.04
544,641,807,jcb,$14.62
545,407,488,jcb,$31.24
546,501,87,jcb,$30.57
547,529,420,jcb,$23.06
548,849,40,jcb,$9.60
549,52,436,china-unionpay,$23.80
550,579,613,mastercard,$21.53
551,683,217,jcb,$40.49
552,909,361,jcb,$31.60
553,361,102,visa-electron,$32.72
554,168,912,jcb,$44.54
555,670,25,jcb,$12.23
556,266,232,diners-club-enroute,$9.08
557,34,817,jcb,$45.87
558,493,14,diners-club-carte-blanche,$46.52
559,4,109,jcb,$35.58
560,705,882,americanexpress,$23.13
561,433,200,diners-club-us-ca,$21.73
562,128,308,diners-club-carte-blanche,$46.75
563,432,375,americanexpress,$14.31
564,988,435,maestro,$25.23
565,729,848,jcb,$34.93
566,749,74,visa,$8.97
567,260,362,diners-club-carte-blanche,$42.96
568,580,521,jcb,$28.62
569,934,873,diners-club-enroute,$6.78
570,387,969,jcb,$5.14
571,518,76,switch,$23.08
572,348,714,bankcard,$45.61
573,503,710,jcb,$16.22
574,705,499,mastercard,$29.36
575,362,744,jcb,$17.82
576,493,464,switch,$35.11
577,736,969,visa-electron,$46.16
578,700,17,maestro,$4.00
579,578,93,mastercard,$47.98
580,73,132,jcb,$35.88
581,902,3,jcb,$39.09
582,352,953,china-unionpay,$35.02
583,65,594,switch,$48.83
584,959,358,visa,$31.24
585,799,598,jcb,$49.15
586,417,375,bankcard,$18.39
587,157,247,switch,$45.65
588,760,266,jcb,$9.98
589,851,825,jcb,$26.90
590,769,678,americanexpress,$44.58
591,592,319,bankcard,$48.67
592,500,217,jcb,$12.26
593,281,761,jcb,$38.37
594,545,305,diners-club-carte-blanche,$15.96
595,545,117,jcb,$13.63
596,576,717,jcb,$47.74
597,50,610,switch,$46.72
598,477,989,china-unionpay,$26.97
599,265,824,switch,$31.12
600,152,348,jcb,$24.36
601,360,48,visa,$4.42
602,387,376,mastercard,$6.60
603,123,959,jcb,$23.06
604,705,359,switch,$34.79
605,458,191,maestro,$14.69
606,435,489,americanexpress,$37.56
607,69,48,jcb,$25.95
608,71,840,bankcard,$15.15
609,464,333,instapayment,$8.08
610,4,625,diners-club-carte-blanche,$10.62
611,584,781,diners-club-enroute,$46.95
612,454,673,maestro,$38.37
613,572,411,visa-electron,$38.40
614,885,302,diners-club-carte-blanche,$49.63
615,347,802,jcb,$26.80
616,231,29,diners-club-us-ca,$21.77
617,7,83,jcb,$10.19
618,1,817,jcb,$49.93
619,250,809,americanexpress,$43.43
620,454,486,jcb,$24.68
621,110,949,instapayment,$14.51
622,427,977,solo,$41.62
623,977,698,jcb,$47.01
624,764,414,visa-electron,$15.35
625,697,69,jcb,$36.72
626,333,332,visa,$11.98
627,658,976,jcb,$14.69
628,518,430,visa-electron,$12.25
629,393,122,jcb,$29.71
630,223,461,visa-electron,$32.37
631,117,297,visa-electron,$11.68
632,605,933,diners-club-carte-blanche,$31.45
633,464,1000,visa-electron,$38.96
634,300,634,switch,$8.01
635,465,115,jcb,$16.22
636,755,778,jcb,$44.61
637,168,762,jcb,$48.31
638,707,2,jcb,$20.39
639,947,893,jcb,$43.91
640,372,74,jcb,$39.88
641,472,323,jcb,$28.42
642,394,812,americanexpress,$33.63
643,894,255,americanexpress,$48.26
644,314,476,visa,$16.45
645,505,41,jcb,$40.42
646,288,392,maestro,$22.93
647,854,619,mastercard,$31.41
648,731,619,diners-club-carte-blanche,$13.31
649,252,242,americanexpress,$20.58
650,49,416,jcb,$19.27
651,197,526,maestro,$21.37
652,970,142,mastercard,$33.47
653,763,200,jcb,$47.20
654,897,487,jcb,$23.06
655,753,80,maestro,$46.65
656,241,647,jcb,$5.15
657,847,415,mastercard,$33.51
658,453,766,visa-electron,$3.06
659,2,66,diners-club-carte-blanche,$22.60
660,276,691,jcb,$16.40
661,145,649,china-unionpay,$26.59
662,635,520,jcb,$47.75
663,924,652,jcb,$8.63
664,772,948,jcb,$46.74
665,736,750,jcb,$38.71
666,731,841,jcb,$16.11
667,505,637,diners-club-enroute,$23.19
668,697,132,mastercard,$24.80
669,970,962,jcb,$45.32
670,433,760,mastercard,$33.64
671,975,902,jcb,$18.25
672,982,250,jcb,$47.13
673,411,224,jcb,$40.40
674,700,81,bankcard,$14.91
675,250,429,jcb,$14.06
676,356,150,diners-club-us-ca,$16.69
677,182,818,instapayment,$34.34
678,165,154,laser,$3.86
679,791,736,switch,$15.86
680,11,197,mastercard,$4.47
681,433,31,jcb,$49.57
682,543,364,jcb,$46.49
683,203,7,jcb,$6.08
684,547,158,americanexpress,$47.40
685,286,772,jcb,$49.85
686,634,351,jcb,$17.97
687,789,870,visa-electron,$13.99
688,228,637,mastercard,$27.03
689,109,712,mastercard,$19.87
690,80,418,jcb,$41.33
691,836,351,jcb,$13.32
692,785,52,mastercard,$49.18
693,772,959,mastercard,$11.42
694,824,544,jcb,$10.25
695,989,594,jcb,$49.12
696,963,680,jcb,$5.84
697,994,675,jcb,$7.68
698,464,309,diners-club-international,$26.20
699,859,32,mastercard,$22.08
700,66,400,mastercard,$41.79
701,705,358,switch,$48.68
702,406,178,bankcard,$31.19
703,256,533,americanexpress,$44.79
704,836,774,jcb,$35.37
705,18,695,visa-electron,$34.50
706,605,80,laser,$21.99
707,598,700,jcb,$20.99
708,413,901,switch,$40.96
709,641,597,visa,$13.85
710,461,467,visa-electron,$36.58
711,287,545,laser,$39.94
712,957,545,maestro,$34.97
713,171,302,diners-club-carte-blanche,$9.40
714,738,540,mastercard,$6.73
715,230,543,laser,$28.83
716,79,1000,jcb,$34.37
717,225,13,jcb,$24.66
718,505,721,jcb,$41.49
719,20,218,maestro,$6.20
720,531,733,switch,$4.38
721,430,213,bankcard,$5.63
722,164,256,maestro,$5.70
723,172,882,diners-club-us-ca,$40.86
724,197,522,jcb,$30.96
725,785,993,diners-club-carte-blanche,$27.34
726,612,392,mastercard,$23.50
727,794,260,jcb,$5.38
728,920,55,mastercard,$48.61
729,807,942,jcb,$43.90
730,774,348,switch,$32.74
731,427,605,instapayment,$36.26
732,683,894,jcb,$27.50
733,425,368,jcb,$4.26
734,753,914,jcb,$47.83
735,121,660,jcb,$4.71
736,608,932,visa-electron,$6.39
737,500,757,laser,$21.54
738,124,874,jcb,$23.76
739,92,630,americanexpress,$22.60
740,521,441,mastercard,$31.89
741,396,614,maestro,$21.53
742,21,183,jcb,$33.20
743,34,599,jcb,$24.37
744,251,699,jcb,$27.55
745,359,321,diners-club-enroute,$17.49
746,805,941,jcb,$7.84
747,933,171,jcb,$42.54
748,299,29,mastercard,$28.25
749,882,604,jcb,$18.30
750,705,219,bankcard,$26.86
751,454,208,americanexpress,$43.07
752,155,357,jcb,$21.18
753,621,394,mastercard,$10.37
754,652,433,jcb,$30.63
755,199,212,jcb,$39.19
756,362,952,maestro,$24.52
757,916,895,laser,$28.39
758,409,384,jcb,$45.22
759,2,766,diners-club-carte-blanche,$39.66
760,496,307,jcb,$29.27
761,968,125,jcb,$48.97
762,244,837,jcb,$36.25
763,351,735,jcb,$16.23
764,978,89,maestro,$47.32
765,639,313,jcb,$34.67
766,625,90,jcb,$27.33
767,939,773,solo,$28.24
768,331,104,jcb,$23.13
769,55,11,jcb,$22.32
770,597,819,china-unionpay,$28.28
771,829,298,china-unionpay,$7.85
772,953,516,jcb,$33.95
773,82,350,mastercard,$38.49
774,432,699,laser,$22.23
775,574,743,jcb,$9.22
776,859,795,visa,$24.15
777,829,795,diners-club-enroute,$22.67
778,673,350,switch,$19.10
779,971,531,bankcard,$3.21
780,180,900,jcb,$3.57
781,835,761,diners-club-enroute,$4.39
782,538,777,jcb,$15.69
783,356,495,maestro,$24.45
784,347,484,visa-electron,$48.26
785,491,729,switch,$9.00
786,142,937,visa-electron,$25.28
787,48,466,jcb,$30.04
788,774,528,diners-club-us-ca,$39.90
789,297,730,jcb,$49.68
790,813,634,jcb,$7.00
791,783,257,visa-electron,$24.57
792,794,64,diners-club-enroute,$14.30
793,533,247,jcb,$25.96
794,10,693,visa-electron,$14.21
795,710,52,jcb,$49.68
796,555,765,diners-club-enroute,$11.32
797,402,2,jcb,$4.43
798,536,222,maestro,$5.42
799,919,505,diners-club-enroute,$48.68
800,345,230,solo,$7.72
801,33,124,jcb,$38.76
802,116,237,jcb,$17.32
803,419,948,jcb,$6.90
804,525,522,jcb,$30.37
805,264,438,switch,$49.04
806,711,613,visa-electron,$45.09
807,832,494,jcb,$11.29
808,690,334,bankcard,$36.32
809,107,990,jcb,$9.95
810,70,265,switch,$49.38
811,495,593,instapayment,$20.54
812,530,72,visa,$15.39
813,756,613,switch,$37.54
814,981,128,visa-electron,$46.22
815,174,448,jcb,$9.44
816,299,932,diners-club-enroute,$25.85
817,12,821,jcb,$41.37
818,359,544,china-unionpay,$4.52
819,817,214,mastercard,$46.38
820,767,936,jcb,$49.68
821,533,455,mastercard,$9.44
822,814,785,jcb,$26.29
823,271,948,americanexpress,$17.99
824,183,547,china-unionpay,$35.79
825,193,832,visa,$20.70
826,87,861,jcb,$17.80
827,629,264,americanexpress,$6.90
828,820,331,diners-club-enroute,$39.41
829,118,130,jcb,$10.12
830,279,515,jcb,$26.13
831,149,654,china-unionpay,$33.09
832,880,713,jcb,$37.92
833,406,675,jcb,$40.48
834,188,706,visa-electron,$19.55
835,109,637,jcb,$42.82
836,65,843,jcb,$49.39
837,761,144,instapayment,$36.59
838,352,521,jcb,$27.29
839,131,260,jcb,$14.60
840,103,183,china-unionpay,$36.58
841,808,136,jcb,$8.14
842,740,490,jcb,$45.91
843,858,279,diners-club-enroute,$22.91
844,999,709,mastercard,$22.29
845,256,261,bankcard,$13.38
846,730,476,jcb,$18.84
847,477,92,bankcard,$21.99
848,894,899,solo,$40.95
849,359,143,laser,$21.01
850,87,838,maestro,$13.72
851,483,456,maestro,$4.50
852,67,182,jcb,$7.62
853,42,967,jcb,$30.38
854,148,846,visa-electron,$14.79
855,954,280,mastercard,$20.07
856,898,381,jcb,$37.44
857,766,929,jcb,$4.71
858,948,547,maestro,$31.62
859,371,456,china-unionpay,$26.80
860,198,553,jcb,$29.28
861,769,17,jcb,$43.62
862,495,192,jcb,$43.45
863,571,527,visa,$42.50
864,926,373,jcb,$21.21
865,490,207,maestro,$35.66
866,33,864,jcb,$4.59
867,604,490,maestro,$48.85
868,9,939,jcb,$33.36
869,289,360,jcb,$38.67
870,724,873,maestro,$28.37
871,337,91,mastercard,$18.89
872,128,403,instapayment,$42.48
873,833,373,china-unionpay,$36.15
